blau;blau;
braun;braun;
bunt;bunt;
coffee;braun;
creme;beige;
edelstahlfarben;silberfarben;
gelb;gelb;
goldfarben;goldfarben;
grau;grau;
grün;grün;
kupfer;rosegold;
lila;lila;
natur;beige;
orange;orange;
pink;pink;
rosa;rosa;
rot;rot;
schwarz;schwarz;
silberfarben;silberfarben;
transparent;farblos;
weiß;weiß;
 pale tuquoi;blau;
.black;schwarz;
+2kissen;mission;
+kissen;mission;
0;mission;
0 262 beige;beige;
0,5 m;mission;
001 white;weiß;
00weiß;weiß;
01 = braun;braun;
01 black;schwarz;
01 bronze;braun;
01 dark brow;braun;
01 in love;mission;
01 light;mission;
01 light-med;mission;
01 pink cami;pink;
01d0 placed;mission;
02 golden;goldfarben;
02 hot havan;mission;
02 medium;mission;
02 medium-da;mission;
02 seredinpi;mission;
02cremew;beige;
03 control;mission;
03 curry;gelb;
03 deep;mission;
03 desnudo;mission;
03 fair;mission;
03 sahara;beige;
030 blue od;blau;
0301grau;grau;
034 blue aut;blau;
0361rot;rot;
039-light gr;mission;
04 cappucino;braun;
04 cognac;braun;
04 lit up;mission;
04 oh-na-na;mission;
043 cool gre;mission;
0480marine;blau;
0481marine;blau;
0490marine;blau;
05;mission;
05 brown;braun;
05 dkl.braun;braun;
053 oak tree;braun;
06 = rosa;rosa;
060 morning;mission;
0623taupe;grau;
063 aquarius;blau;
0640hellbrau;braun;
0645cognac;braun;
0650rostbrau;braun;
0660baileys;beige;
0680dunkelbr;braun;
0690dunkelbr;braun;
0691dunkelbr;braun;
0770stahlgra;grau;
0771dunkelgr;mission;
0785dunkles;mission;
0790schwarz;schwarz;
0791schwarz;schwarz;
086 black sh;schwarz;
08d;mission;
09 elephant;grau;
0aamulti;bunt;
1;mission;
1 - off whit;weiß;
1 - white;weiß;
1 beige;beige;
1 cobalt;blau;
1 col.;mission;
1 m;mission;
1 rasierer;mission;
1 stk.;mission;
1 x bordeaux;rot;
1 x rosa;rosa;
1 x rosé;rosa;
1,35g;mission;
1,5 m;mission;
1. col;mission;
1. col.;mission;
1. farbsort.;mission;
1.col;mission;
10;mission;
10 - black;schwarz;
10 - deep bl;blau;
10- black;schwarz;
10 blau;blau;
10 clair;mission;
10 col;mission;
10 ivory;blau;
10 jahre gar;mission;
10 klingen;mission;
10 ml;mission;
10 red;rot;
10 silver;silberfarben;
10 -teilig s;mission;
10 tendre;mission;
10 tlg set;mission;
100;mission;
100 cm;mission;
100 g;mission;
100 ml;mission;
100 stk.;mission;
100 teile;mission;
100 weiß;weiß;
100 white;weiß;
100/150teile;mission;
1000;mission;
1000 teile;mission;
100000 navy;blau;
1001 black;schwarz;
100113 navy/;blau;
100136 navy/;blau;
1001a blacka;schwarz;
1001l black;schwarz;
1001s black;schwarz;
1002 white;weiß;
100200 navy/;blau;
1004 pearl g;grau;
100406 navy/;blau;
1005 light g;mission;
100603 navy/;blau;
1007wollwe;weiß;
1009 india i;gelb;
100g;mission;
100ml;mission;
100stueck;mission;
100x200cm;mission;
101;mission;
101 eggwhite;weiß;
101 teile;mission;
1010 frost g;mission;
1011 dark gr;mission;
101weiß;weiß;
10259;mission;
103 feather;mission;
103406 blue/;blau;
104;mission;
104 teile;mission;
104,5 ml;mission;
10403;mission;
10404;mission;
10405;mission;
105 ml;mission;
105 pebble w;mission;
105 teile;mission;
10506;mission;
10507;mission;
10508;mission;
10571;mission;
10572;mission;
10592;mission;
10597;mission;
10696;mission;
10698;mission;
107,4 ml;mission;
10701;mission;
10703;mission;
10712;mission;
10713;mission;
10714;mission;
10715;mission;
10734;mission;
10736;mission;
10738;mission;
10739;mission;
10740;mission;
10742;mission;
10743;mission;
10744;mission;
10745;mission;
10749;mission;
10751;mission;
10753;mission;
10754;mission;
10755;mission;
10756;mission;
10757;mission;
10758;mission;
